# =============================================================================
# givenname_freq.csv - Frequency table for given names
#
# Sources: - Compiled from various web sites
#
# Last update: 22/03/2012, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

aaliyah,1
abbey,9
abbie,2
abby,4
abigail,1
abii,1
adela,1
adele,1
adriana,1
aikaterina,1
aimee,2
ainsley,1
alaiyah,1
alana,9
alannah,2
aleesha,1
aleisha,2
alessandra,2
alessandria,1
alessia,1
alexa-rose,1
alexandra,17
alexia,1
alexis,1
alia,2
alice,3
alicia,5
alisa,3
alisha,2
alison,1
alissa,2
alivia,1
aliza,1
allegra,1
alysha,2
alyssa,3
amalia,1
amaya,1
amber,11
ambrosia,1
amelia,5
amelie,1
amy,15
anari,1
anastasia,1
andie,1
andrea,1
aneka,1
angelica,2
angelina,1
angie,1
anika,1
anita,1
anna,1
annabel,4
annabella,1
annabelle,4
annalise,2
anneliese,1
annika,1
anthea,1
april,6
arabella,3
arki,1
asha,1
ashlee,1
ashleigh,4
#ashley,1
ashlie,1
#ashton,1
aurora,1
ava,2
ayla,1
bailee,3
#bailey,3
belinda,1
bella,2
beth,1
bethanie,1
bethany,5
bianca,5
breana,1
bree,1
breeanne,1
breony,1
brianna,7
bridget,4
brielle,1
brigette,1
brigitte,1
briley,1
briony,1
bronte,1
brooke,11
brooklyn,3
brydee,1
caitlin,16
caitlyn,1
callie,1
cambell,1
caresse,1
carla,2
carly,2
carmen,1
#casey,4
cassandra,3
cassidy,1
catherine,3
channing,1
chantelle,2
charlee,1
charli,1
#charlie,3
charlize,1
charlotte,17
chelsea,12
chelsie,1
cheree,1
chevonne,1
cheyenne,1
chloe,23
christina,1
claire,3
claudia,3
clodagh,1
corie,1
courtney,5
crystal,1
daniella,2
danielle,5
danika,1
darcie,1
#darcy,1
dayna,1
delaney,1
demie,1
desi,1
destynii,1
diamond,1
domenique,1
eboni,1
ebonie,1
ebony,7
elana,1
eleanor,1
eleni,1
elise,1
elisha,1
eliza,7
elizabeth,3
ella,15
elle,1
ellen,3
elli,1
ellie,4
ellorah,1
ellouise,1
elly,3
eloise,1
elysse,1
emalene,1
emerson,1
emiily,48
emma,16
emmerson,1
erin,14
esme,1
esther,1
eva,2
evangelia,1
faith,1
felicity,3
#finn,2
fiona,1
freya,2
fyynlay,1
gabriella,1
gabrielle,4
gemaley,1
gemma,1
genevieve,1
georgia,19
georgina,1
giaan,1
gillian,1
giorgia,1
giuliana,1
grace,7
gracie,2
hana,1
hanna,1
hannah,17
#harley,1
harriet,4
hattie,1
haylee,1
hayley,7
heather,1
helena,1
hollie,1
holly,14
imogen,9
india,2
indiana,2
indyana,1
irene,1
isabel,1
isabella,28
isabelle,9
isobel,1
jacinta,3
jacqueline,4
jacynta,1
jade,9
jaime,2
jaimee,1
jamilla,1
jaslyn,1
jasmin,1
jasmine,9
jasmyn,2
#jayde,1
jayme,1
jazz,1
jemima,1
jemma,3
jenna,4
jennifer,1
jessica,25
jessie,1
jinni,1
joanna,1
#jordan,2
jordyn,1
jorja,1
joselyn,1
josephine,2
julia,5
juliana,3
kaela,1
kailey,2
kaitlin,4
kaitlyn,2
kalli,1
kallie,1
karissa,1
karla,1
karlee,1
karli,2
kasey,1
kate,3
katelin,2
katelyn,6
katharine,1
katherine,1
kathleen,1
katie,2
kayla,5
kaysey,1
keahley,1
keeley,2
keelin,1
keely,2
keira,1
kelsea,1
kelsey,3
kelsy,1
kelsye,1
keziah,1
kiana,2
kiandra,1
kiara,2
kiarnee,1
kiera,2
kierra,1
kimberley,1
kimberly,1
kira,2
kiria,1
kirra,5
kirrah,1
koula,1
kristen,2
kristin,1
krystin,1
kyah,1
kylee,3
kylie,1
kyra,1
lacey,1
laetitia,1
laklynn,1
lani,1
lara,7
larissa,2
laura,5
lauren,15
layla,2
leah,3
lexie,1
lia,1
liana,1
libby,1
lilian,1
lillian,1
lillianna,1
lilly,1
lily,14
livia,1
#logan,1
louise,2
lucinda,1
lucy,13
lushia,1
lydia,1
lynae,1
macey,1
mackenzi,1
#mackenzie,1
macy,1
madalyn,1
maddison,4
madeleine,6
madeline,8
madelyn,1
madison,16
maggie,1
makayla,2
makenzi,1
makenzie,1
maliah,1
maria,1
marianne,1
marlee,1
marleigh,1
marley,1
mary,1
mathilde,1
matilda,4
matisse,2
maya,3
meagan,1
meg,3
megan,3
meggie,1
melanie,1
melinda,1
melissa,1
mhary,1
mia,12
micaela,1
michaela,3
michelle,1
mikaela,2
mikayla,6
mikhaili,1
mikhayla,2
mila,1
millie,1
miranda,1
mollie,1
molly,5
monique,4
montana,4
montanna,1
morgan,1
mya,1
mystique,1
nacoya,1
naomi,4
nasyah,1
natalee,1
natalia,3
natalie,1
natasha,2
natassia,1
nell,1
nellie,1
nemesia,1
neneh,1
neve,1
niamh,1
nicola,1
nicole,2
nikita,2
nikki,2
olivia,18
pace,1
paige,4
pakita,1
paris,3
pascale,1
peta,1
petreece,1
peyton,1
phoebe,5
pia,1
polly,1
portia,1
prudence,1
rachael,1
rachel,7
raquel,1
rebecca,4
rebekah,2
reegan,1
reganne,1
renai,1
renee,2
rhiannon,1
#riley,1
roberta,1
roisin,1
rosa,1
rosie,3
ruby,14
ryleh,1
saara,1
samantha,12
samara,1
sana,1
sara,3
sara-louise,1
sarah,17
sarsha,1
sascha,2
saskia,1
savannah,1
schkirra,1
seanna,1
serena,1
shae,1
shai,2
shakira,1
shakirah,1
shana,1
shanaye,1
shandril,1
#shannon,1
shantal,1
shelbey,1
shelby,2
shenae,1
shona,1
sian,1
sidonie,1
sienna,3
simone,2
skye,1
sonja,2
sophie,30
stella,1
stephanie,10
summer,1
sybella,1
sylvie,1
taalia,1
tabitha,1
tahlia,4
tahnee,1
tahni,1
takara,1
takeisha,1
talena,1
talia,6
taliah,3
talissa,1
talyah,1
tansy,1
tanyshah,1
tara,10
tarnee,1
tarnia,1
tarshya,1
tayah,2
tayla,2
